id	pid	title	authors	venue	source	year
50|doi_________::7ef390deea55c0b230ca5c4ce4cc9b86	10.1145/956750.956805	first results,Style mining of electronic messages for multiple authorship discrimination: first results,Style mining of electronic messages for multiple authorship discrimination	Marin Šarić,Sterling Stuart Stein,Shlomo Argamon	Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining	Crossref,KDD	2003-08-24
50|doi_________::1c055a86daf6a9429a3bd0c5fbe14c75	10.1007/978-3-319-20267-9_31	Modelling the User Modelling Community (and Other Communities as Well),Modelling the User Modelling Community (and Other Communities as Well)	Carlo Tasso,Andrea Pavan,Dario De Nart,Dante Degl'Innocenti,Marco Basaldella	\N	Crossref,Lecture Notes in Computer Science ISBN: 9783319202662,UMAP	2015-01-01
50|doi_dedup___::0f716fdbdf8290a735f818bf64b7fa85	10.1109/cvpr.2018.00143,10.48550/arxiv.1711.10485,1711.10485	AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks,AttnGAN: Fine-Grained Text to Image Generation with Attentional Generative Adversarial Networks	Xiaodong He,Xiaolei Huang,Qiuyuan Huang,Pengchuan Zhang,Tao Xu,Han Zhang,Zhe Gan	2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition	Crossref,CVPR	2018-06-01
50|doi_________::0d2c19612ab676e5990136d9ba90add9	10.1109/2.121508	Mediators in the architecture of future information systems,Mediators in the architecture of future information systems	Gio Wiederhold	Computer	Crossref	1992-03-01
50|doi_________::864eb77e762724aa3262da1854703dec	10.1016/j.future.2008.06.010	The design and realisation of the Experimentmy Virtual Research Environment for social sharing of workflows,The design and realisation of the Virtual Research Environment for social sharing of workflows	Robert Stevens,David De Roure,Carole Goble	Future Generation Computer Systems	Crossref	2009-05-01
50|doi_dedup___::207bc0cf9ae07331918c1dac63f306c3	10.1145/2390231.2390245	Detecting price and search discrimination on the internet,Detecting price and search discrimination on the internet	Jakub Mikians,Vijay Erramilli,László Gyarmati,Nikolaos Laoutaris	Proceedings of the 11th ACM Workshop on Hot Topics in Networks	Crossref,HotNets,reponame:Recercat. Dipósit de la Recerca de Catalunya,instname:,reponame:UPCommons. Portal del coneixement obert de la UPC,instname:Universitat Politècnica de Catalunya (UPC)	2012-10-29
50|doi_dedup___::c44b928fa4c76c1d4b93526fb2b7ecde	10.7287/peerj.preprints.1448v2,10.1371/journal.pcbi.1005097,27764088,PMC5072699	Ten Simple Rules for Digital Data Storage.,Ten simple rules for digital data storage	Pauline Barmby,Timothée Poisot,Sarah Mount,Kara H. Woo,Naupaka Zimmerman,Patrick Mulrooney,Jeffrey W. Hollister,Edmund Hart,François Michonneau,David LeBauer	\N	Crossref,PLoS Computational Biology, Vol 12, Iss 10, p e1005097 (2016),Physics and Astronomy Publications,Hart , E M , Barmby , P , LeBauer , D , Michonneau , F , Mount , S , Mulrooney , P , Poisot , T , Woo , K H , Zimmerman , N B & Hollister , J W 2016 , ' Ten Simple Rules for Digital Data Storage ' , PL o S Computational Biology , vol. 12 , no. 10 , e1005097 . https://doi.org/10.1371/journal.pcbi.1005097	2016-04-26
50|doi_________::46b4dc6f19f1915053785104af854364	10.1017/cbo9780511809071	Introduction to Information Retrieval	Christopher D. Manning,Prabhakar Raghavan,Hinrich Schütze	\N	Crossref	2008-07-07
50|doi_dedup___::93a52989e346c770c02eeb450689b56f	10.1145/1101149.1101236,11245/1.252203	Early versus late fusion in semantic video analysis,Early versus late fusion in semantic video analysis	Cees G. M. Snoek,Marcel Worring,Arnold W. M. Smeulders	Proceedings of the 13th annual ACM international conference on Multimedia	Crossref,ACM Multimedia,TITLE=ACM Multimedia	2005-11-06
50|doi_dedup___::a729807109fcda52d6f620a2a0f26fb2	10.1109/mis.2006.62	The Semantic Web Revisited,The Semantic Web Revisited	Tim Berners-Lee,Wendy Hall,Nigel Shadbolt	IEEE Intelligent Systems	Crossref	2006-05-01
50|doi_dedup___::dc18c365b337f20d86489fdee01d708b	10.1109/jcdl.2014.6970225	The Organization information integration in the management of a Digital Library System	Angela Di Iorio,Marco Schaerf	IEEE/ACM Joint Conference on Digital Libraries	Crossref	2014-09-01
50|doi_________::a6fd83c77fb6475d3e5471322e8d7328	10.1145/2631775.2631798	assisting users in addressing information needs that span independently hosted websites,Cross-site personalization: assisting users in addressing information needs that span independently hosted websites,Cross-site personalization	Owen Conlan,Kevin Koidl,Vincent Wade	Proceedings of the 25th ACM conference on Hypertext and social media	Crossref,HT	2014-09-01
50|doi_________::3c25e4d8b6da8912638e0f41f1da9c65	10.1145/1367497.1367499	Personalized web exploration with task models,Personalized web exploration with task models	Qi Li,Jonathan Grady,Daqing He,Jae-wook Ahn,Peter Brusilovsky	Proceedings of the 17th international conference on World Wide Web	Crossref,WWW	2008-04-21
50|doi_________::668ace094ab2dda23415ff742cad99bb	10.5220/0004991802230230	A Scalable Framework for Dynamic Data Citation of Arbitrary Structured Data,A Scalable Framework for Dynamic Data Citation of Arbitrary Structured Data	Andreas Rauber,Stefan Pröll	Proceedings of 3rd International Conference on Data Management Technologies and Applications	Crossref,DATA	2014-01-01
50|doi_dedup___::546dd98ad0737a2e7fe767aa6919fd6e	10.1007/978-3-319-68548-9_5,11380/1143692	Two More Strategies to Speed Up Connected Components Labeling Algorithms,Two More Strategies to Speed Up Connected Components Labeling Algorithms	Federico Bolelli,Costantino Grana,Michele Cancilla	\N	Crossref,Image Analysis and Processing - ICIAP 2017 ISBN: 9783319685472,ICIAP (2)	2017-01-01
50|doi_dedup___::a75a39e5f51e38bf26703f9cb878181d	10.1109/mmul.2009.25,11380/979918	Dynamic Pictorially Enriched Ontologies for Digital Video Libraries,Dynamic Pictorially Enriched Ontologies for Digital Video Libraries	Rita Cucchiara,Giuseppe Serra,Alberto Del Bimbo,Costantino Grana,Marco Bertini,Carlo Torniai,Roberto Vezzani	IEEE Multimedia	Crossref	2009-04-01
50|doi_________::4b0f4816a1d1f9b4b30bed6204419d0b	10.1016/j.joi.2008.12.003	Automatic evaluation of digital libraries with 5SQual,Automatic evaluation of digital libraries with 5SQual	Alberto H. F. Laender,Bárbara Lagoeiro Moreira,Marcos André Gonçalves,Edward A. Fox	Journal of Informetrics	Crossref	2009-04-01
50|doi_________::e162403c86d5f64d6a9319d9be62e043	10.1007/978-3-319-41561-1_27	The WoMan Formalism for Expressing Process Models,The WoMan Formalism for Expressing Process Models	Stefano Ferilli	\N	Crossref,Advances in Data Mining. Applications and Theoretical Aspects ISBN: 9783319415604,ICDM	2016-01-01
50|doi_dedup___::163342d697b3b480715ff5b35d822f3c	10.1007/978-3-319-68130-6_11	An adaptive cross-site user modelling platform for cultural heritage websites,An Adaptive Cross-Site User Modelling Platform for Cultural Heritage Websites	Stefano Marchesin,Vincent Wade,Maristella Agosti,Séamus Lawless	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319681290,IRCDL	2017-01-01
50|doi_________::1b2e0bde7570fb7067639f0e56d58b82	10.1145/2095536.2095562	digital archives for cultural heritage,MonArch: digital archives for cultural heritage,MonArch	Claudia Woller,Alexander Stenzer,Burkhard Freitag	Proceedings of the 13th International Conference on Information Integration and Web-based Applications and Services	Crossref,iiWAS	2011-12-05
50|doi_________::3fa1097fd17dea364ce958a3e4084c1e	10.31263/voebm.v70i2.1676	Implementation of a classification server to support metadata organization for long term perservation systems,Implementation of a classification server to support metadata organization for long term perservation systems	Rastislav Hudak,Raman Ganguly,Sándor Kopácsi	Mitteilungen der Vereinigung Österreichischer Bibliothekarinnen und Bibliothekare	Crossref	2018-04-03
50|doi_dedup___::14d2b423390c8af906f1a767b830f9e0	10.15497/rda00016	Data Citation of Evolving Data: Recommendations of the RDA Working Group on Data Citation (WGDC)	Rauber, Andreas,Asmi, Ari,Uytvanck, Dieter Van,Proell, Stefan	\N	Datacite	2016-01-01
